field_trial_id,Treatment 1,Grain yield (t/ha)
SCF_LimeSources,Walco Lime,2.24
SCF_LimeSources,Redgate Lime,2.33
SCF_LimeSources,Control,2.35
SCF_LimeSources,Lancelin Lime,2.38
SCF_LimeSources,Denmark Lime,2.38
SCF_LimeSources,Bornholm Lime,2.32
SCF_LimeSources,6t/ha Lime,2.25
SCF_LimeSources,Walco Lime,4.87
SCF_LimeSources,Redgate Lime,5.14
SCF_LimeSources,Control,5.21
SCF_LimeSources,Lancelin Lime,4.78
SCF_LimeSources,Denmark Lime,5.14
SCF_LimeSources,Bornholm Lime,5.16
SCF_LimeSources,6t/ha Lime,5.33
SCF_LimeSources,Walco Lime,3.96
SCF_LimeSources,Redgate Lime,3.59
SCF_LimeSources,Control,3.77
SCF_LimeSources,Lancelin Lime,3.92
SCF_LimeSources,Denmark Lime,4.02
SCF_LimeSources,Bornholm Lime,4.4
SCF_LimeSources,6t/ha Lime,4.09
