field_trial_id,Treatment 1,Grain yield (t/ha)
SCF_PrestonP,40kg/ha,1.4
SCF_PrestonP,60kg/ha,1.48
SCF_PrestonP,80g/ha,1.67
SCF_PrestonP,100kg/ha,1.81
SCF_PrestonP,120kg/ha,1.73
SCF_PrestonP,140kg/ha,1.85
SCF_PrestonP,40kg/ha,5.5
SCF_PrestonP,60kg/ha,5.65
SCF_PrestonP,80g/ha,5.74
SCF_PrestonP,100kg/ha,6.01
SCF_PrestonP,120kg/ha,5.76
SCF_PrestonP,140kg/ha,6.06
SCF_PrestonP,40kg/ha,2.18
SCF_PrestonP,60kg/ha,2.03
SCF_PrestonP,80g/ha,2.41
SCF_PrestonP,100kg/ha,2.56
SCF_PrestonP,120kg/ha,2.52
SCF_PrestonP,140kg/ha,2.49
SCF_PrestonP,40kg/ha,5.28
SCF_PrestonP,60kg/ha,5.16
SCF_PrestonP,80g/ha,5.22
SCF_PrestonP,100kg/ha,5.37
SCF_PrestonP,120kg/ha,5.12
SCF_PrestonP,140kg/ha,5.35
