,treatment,block,row,column,field_trial_id,yields,meta
0,T1,1,1,1,crop_yr1_t01,50.75,7
1,T1,2,1,2,crop_yr1_t01,78.08,8
2,T1,4,1,4,crop_yr1_t01,87.51,7
3,T1,3,1,3,crop_yr1_t01,99.43,5
4,T2,4,2,4,crop_yr1_t01,75.66,6
5,T2,1,2,1,crop_yr1_t01,52.69,3
6,T2,3,2,3,crop_yr1_t01,67.4,2
7,T2,2,2,2,crop_yr1_t01,58.75,5
8,T3,1,3,1,crop_yr1_t01,74.44,6
9,T3,4,3,4,crop_yr1_t01,69.1,10
10,T3,3,3,3,crop_yr1_t01,87.19,3
11,T3,2,3,2,crop_yr1_t01,84.48,6
12,T4,1,4,1,crop_yr1_t01,95.62,3
13,T4,4,4,4,crop_yr1_t01,62.39,2
14,T4,2,4,2,crop_yr1_t01,79.63,4
15,T4,3,4,3,crop_yr1_t01,57.95,3
16,T5,1,5,1,crop_yr1_t01,91.97,7
17,T5,2,5,2,crop_yr1_t01,98.21,10
18,T5,4,5,4,crop_yr1_t01,58.64,9
19,T5,3,5,3,crop_yr1_t01,77.01,4
20,T6,2,6,2,crop_yr1_t01,85.01,3
21,T6,3,6,3,crop_yr1_t01,84.11,4
22,T6,4,6,4,crop_yr1_t01,66.18,2
23,T6,1,6,1,crop_yr1_t01,60.43,1
24,T1,1,1,1,crop_yr1_t02,69.7,10
25,T1,4,1,4,crop_yr1_t02,71.31,4
26,T1,3,1,3,crop_yr1_t02,67.48,9
27,T1,2,1,2,crop_yr1_t02,82.92,6
28,T2,2,2,2,crop_yr1_t02,99.8,8
29,T2,4,2,4,crop_yr1_t02,88.28,7
30,T2,1,2,1,crop_yr1_t02,80.36,8
31,T2,3,2,3,crop_yr1_t02,70.33,7
32,T3,4,3,4,crop_yr1_t02,77.72,9
33,T3,3,3,3,crop_yr1_t02,74.6,8
34,T3,2,3,2,crop_yr1_t02,86.69,10
35,T3,1,3,1,crop_yr1_t02,80.54,8
36,T4,2,4,2,crop_yr1_t02,60.87,4
37,T4,3,4,3,crop_yr1_t02,90.54,8
38,T4,1,4,1,crop_yr1_t02,98.9,8
39,T4,4,4,4,crop_yr1_t02,62.93,9
40,T5,3,5,3,crop_yr1_t02,74.95,1
41,T5,1,5,1,crop_yr1_t02,75.9,2
42,T5,4,5,4,crop_yr1_t02,68.76,8
43,T5,2,5,2,crop_yr1_t02,55.23,1
44,T6,3,6,3,crop_yr1_t02,96.23,8
45,T6,2,6,2,crop_yr1_t02,57.62,5
46,T6,4,6,4,crop_yr1_t02,94.33,3
47,T6,1,6,1,crop_yr1_t02,57.28,5
48,T1,1,1,1,crop_yr1_t03,92.67,2
49,T1,3,1,3,crop_yr1_t03,85.12,6
50,T1,2,1,2,crop_yr1_t03,71.6,4
51,T1,4,1,4,crop_yr1_t03,67.15,3
52,T2,3,2,3,crop_yr1_t03,94.55,9
53,T2,4,2,4,crop_yr1_t03,89.48,9
54,T2,2,2,2,crop_yr1_t03,54.9,7
55,T2,1,2,1,crop_yr1_t03,72.63,1
