treatment,treatment_name,field_trial_id,seed_type
T1,trt_name_A,crop_yr1_t01,seed_type_A
T2,trt_name_B,crop_yr1_t01,seed_type_A
T3,trt_name_C,crop_yr1_t01,seed_type_A
T4,trt_name_D,crop_yr1_t01,seed_type_A
T5,trt_name_E,crop_yr1_t01,seed_type_A
T6,trt_name_F,crop_yr1_t01,seed_type_A
T1,trt_name_A,crop_yr1_t02,seed_type_A
T2,trt_name_B,crop_yr1_t02,seed_type_A
T3,trt_name_C,crop_yr1_t02,seed_type_A
T4,trt_name_D,crop_yr1_t02,seed_type_A
T5,trt_name_E,crop_yr1_t02,seed_type_A
T6,trt_name_F,crop_yr1_t02,seed_type_A
T1,trt_name_A,crop_yr1_t03,seed_type_A
T2,trt_name_B,crop_yr1_t03,seed_type_A
T3,trt_name_C,crop_yr1_t03,seed_type_A
T4,trt_name_D,crop_yr1_t03,seed_type_A
T5,trt_name_E,crop_yr1_t03,seed_type_A
T6,trt_name_F,crop_yr1_t03,seed_type_A
T1,trt_name_A,crop_yr1_t04,seed_type_A
T2,trt_name_B,crop_yr1_t04,seed_type_A
T3,trt_name_C,crop_yr1_t04,seed_type_A
T4,trt_name_D,crop_yr1_t04,seed_type_A
T5,trt_name_E,crop_yr1_t04,seed_type_A
T6,trt_name_F,crop_yr1_t04,seed_type_A
T1,trt_name_A,crop_yr2_t01,seed_type_A
T2,trt_name_B,crop_yr2_t01,seed_type_A
T3,trt_name_C,crop_yr2_t01,seed_type_A
T4,trt_name_D,crop_yr2_t01,seed_type_A
T5,trt_name_E,crop_yr2_t01,seed_type_A
T6,trt_name_F,crop_yr2_t01,seed_type_A
T1,trt_name_A,crop_yr2_t02,seed_type_A
T2,trt_name_B,crop_yr2_t02,seed_type_A
T3,trt_name_C,crop_yr2_t02,seed_type_A
T4,trt_name_D,crop_yr2_t02,seed_type_A
T5,trt_name_E,crop_yr2_t02,seed_type_A
T6,trt_name_F,crop_yr2_t02,seed_type_A
T1,trt_name_A,crop_yr2_t03,seed_type_A
T2,trt_name_B,crop_yr2_t03,seed_type_A
T3,trt_name_C,crop_yr2_t03,seed_type_A
T4,trt_name_D,crop_yr2_t03,seed_type_A
T5,trt_name_E,crop_yr2_t03,seed_type_A
T6,trt_name_F,crop_yr2_t03,seed_type_A
T1,trt_name_A,crop_yr2_t04,seed_type_A
T2,trt_name_B,crop_yr2_t04,seed_type_A
T3,trt_name_C,crop_yr2_t04,seed_type_A
T4,trt_name_D,crop_yr2_t04,seed_type_A
T5,trt_name_E,crop_yr2_t04,seed_type_A
T6,trt_name_F,crop_yr2_t04,seed_type_A
