field_trial_id,Table number,Treatment 1,Hectolitre weight (kg/hL),Plant density (plants/m2).3,Protein (%).1,Screenings (%),Soil nitrate (mg/kg),Grain yield (t/ha).12,Moisture (%).1,NDVI (.).1,Barley Price (S/t).1,Plant count (square meter),Wheat Price ($/t),Revenue 2019 ($/ha).4,Revenue 2018 ($/ha).1,Total Revenue ($/ha).1,Comparison to Control ($/ha),Price ($/t).1,Ammonium Nitrate (mg/kg),Combined profit ($/ha).2
9176077,1,Lupin,,,,,,1.05,,,,,,,,,,,,
9176077,1,Lentil,,,,,,0.36,,,,,,,,,,,,
9176077,1,Field Pea,,,,,,1.14,,,,,,,,,,,,
9176077,1,Faba Beans,,,,,,1.37,,,,,,,,,,,,
9176077,1,Canola (Control),,,,,,2.6,,,,,,,,,,,,
9176077,1,Lupin,,,,,,5.1,,,,,,,,,,,,
9176077,1,Lentil,,,,,,5.52,,,,,,,,,,,,
9176077,1,Field Pea,,,,,,5.61,,,,,,,,,,,,
9176077,1,Faba Beans,,,,,,5.51,,,,,,,,,,,,
9176077,1,Canola (Control),,,,,,5.29,,,,,,,,,,,,
9176077,2,Lupins,,,,,,5.1,,,,,305.0,1556.0,369.0,1925.0,,,,
9176077,2,Lentils,,,,,,5.52,,,,,305.0,1684.0,193.0,1877.0,,,,
9176077,2,Field Peas,,,,,,5.61,,,,,305.0,1711.0,640.0,2351.0,,,,
9176077,2,Faba Beans,,,,,,5.51,,,,,305.0,1681.0,1366.0,3047.0,,,,
9176077,2,Canola (Control),,,,,,5.29,,,,,305.0,1613.0,1482.0,3095.0,,,,
9176077,3,Faba Beans,0.84,,9.7,0.73,,,11.9,,,,,,,,,,,
9176077,3,Lupins,0.836,,10.15,0.73,,,11.8,,,,,,,,,,,
9176077,3,Field Peas,0.839,,9.85,0.63,,,11.7,,,,,,,,,,,
9176077,3,Lentils,0.833,,10.0,0.72,,,11.9,,,,,,,,,,,
9176077,4,Kaspa Field Pea,,,,,,0.74,,,,,,,,,,,,
9176077,4,Jurien Lupin,,,,,,0.69,,,,,,,,,,,,
9176077,4,Bolt Lentil,,,,,,0.5,,,,,,,,,,,,
9176077,4,Samira Faba Beans,,,,,,0.29,,,,,,,,,,,,
9176077,4,Kaspa Field Pea,,,,,,3.232,,,,,,,,,,,,
9176077,4,Jurien Lupin,,,,,,3.17,,,,,,,,,,,,
9176077,4,Bolt Lentil,,,,,,3.14,,,,,,,,,,,,
9176077,4,Samira Faba Beans,,,,,,3.3,,,,,,,,,,,,
9176077,5,Lentils,,,,,,3.14,,,285.0,,,894.19,267.0,1161.19,,,,
9176077,5,Field Peas,,,,,,3.32,,,285.0,,,946.91,417.0,1363.91,,,,
