field_trial_id,Table number,Treatment 1,Hectolitre weight (kg/hL),Plant density (plants/m2),Protein (%),Screenings (%),Grain yield (t/ha).4,Moisture (%),NDVI (.).3,Soil loosening depth (cm).2,Depth (cm),Colour (minimum),Average Molarity (mol L-1)
9176109,1,Scarify,,,,,4.99,,,,,,
9176109,1,Tilco 65cm,,,,,5.32,,,,,,
9176109,1,Tilco 40cm,,,,,5.84,,,,,,
9176109,1,Nil,,,,,6.02,,,,,,
9176109,1,Charger 50 cm,,,,,6.2,,,,,,
9176109,1,Charger 40cm,,,,,6.33,,,,,,
9176109,1,Scarify,,,,,1.12,,,,,,
9176109,1,Tilco 65cm,,,,,1.26,,,,,,
9176109,1,Tilco 40cm,,,,,1.3,,,,,,
9176109,1,Nil,,,,,1.16,,,,,,
9176109,1,Charger 50 cm,,,,,1.36,,,,,,
9176109,1,Charger 40cm,,,,,1.32,,,,,,
9176109,2,Control,,,,,1.9,,,,,,
9176109,2,Deep Rip,,,,,1.9,,,,,,
9176109,2,MBP + Ripping,,,,,2.3,,,,,,
9176109,2,Plozza,,,,,2.4,,,,,,
9176109,2,Plozza + Ripping,,,,,2.2,,,,,,
9176109,2,Control,,,,,4.31,,,,,,
9176109,2,Deep Rip,,,,,4.51,,,,,,
9176109,2,MBP + Ripping,,,,,4.84,,,,,,
9176109,2,Plozza,,,,,4.75,,,,,,
9176109,2,Plozza + Ripping,,,,,5.09,,,,,,
9176109,2,Control,,,,,1.99,,,,,,
9176109,2,Deep Rip,,,,,1.9,,,,,,
9176109,2,MBP + Ripping,,,,,2.01,,,,,,
9176109,2,Plozza,,,,,1.86,,,,,,
9176109,2,Plozza + Ripping,,,,,2.12,,,,,,
9176109,3,Depth Charger,,,,,2.64,,,,,,
9176109,3,Moulboard,,,,,2.0,,,,,,
9176109,3,Control,,,,,2.64,,,,,,
9176109,3,Terraland Ripper,,,,,2.35,,,,,,
9176109,3,Depth Charger,,,,,2.79,,,,,,
9176109,3,Moulboard,,,,,2.86,,,,,,
9176109,3,Control,,,,,2.99,,,,,,
9176109,3,Terraland Ripper,,,,,3.34,,,,,,
9176109,3,Depth Charger,,,,,1.29,,,,,,
9176109,3,Moulboard,,,,,1.31,,,,,,
9176109,3,Control,,,,,1.32,,,,,,
9176109,3,Terraland Ripper,,,,,1.38,,,,,,
9176109,4,Control,,,,,5.45,,,,,,
9176109,4,Horsch Tiger Ripper,,,,,5.22,,,,,,
9176109,4,Plozza Plough,,,,,5.22,,,,,,
9176109,4,Shallow Disc,,,,,5.54,,,,,,
9176109,4,Control,,,,,2.47,,,,,,
9176109,4,Horsch Tiger Ripper,,,,,2.49,,,,,,
9176109,4,Plozza Plough,,,,,2.43,,,,,,
9176109,4,Shallow Disc,,,,,2.48,,,,,,
9176109,5,Scarify,,30.6,,,,,0.42,,,,
9176109,5,Tilco 65cm,,25.8,,,,,0.65,,,,
9176109,5,Tilco 40cm,,27.7,,,,,0.45,,,,
9176109,5,Nil,,25.8,,,,,0.64,,,,
9176109,5,Charger 50 cm,,28.0,,,,,0.38,,,,
9176109,5,Charger 40cm,,27.7,,,,,0.3,,,,
9176109,5,Scarify,,31.0,,,,,0.25,,,,
9176109,5,Tilco 65cm,,27.0,,,,,0.73,,,,
9176109,5,Tilco 40cm,,27.0,,,,,0.62,,,,
9176109,5,Nil,,27.0,,,,,0.57,,,,
9176109,5,Charger 50 cm,,22.0,,,,,0.64,,,,
9176109,5,Charger 40cm,,27.0,,,,,0.73,,,,
9176109,6,Control,,,,,,,0.1767,,,,
9176109,6,Deep Rip,,,,,,,0.62,,,,
9176109,6,MBP + Ripping,,,,,,,0.6067,,,,
9176109,6,Plozza,,,,,,,0.1989,,,,
9176109,6,Plozza + Ripping,,,,,,,0.6511,,,,
9176109,6,Control,,,,,,,0.7,,,,
9176109,6,Deep Rip,,,,,,,0.38,,,,
9176109,6,MBP + Ripping,,,,,,,0.69,,,,
9176109,6,Plozza,,,,,,,0.38,,,,
9176109,6,Plozza + Ripping,,,,,,,0.53,,,,
9176109,6,Control,,,,,,,0.42,,,,
9176109,6,Deep Rip,,,,,,,0.49,,,,
9176109,6,MBP + Ripping,,,,,,,0.26,,,,
9176109,6,Plozza,,,,,,,0.55,,,,
9176109,6,Plozza + Ripping,,,,,,,0.61,,,,
9176109,7,Dpeth Charger,,,,,,,0.67,,,,
9176109,7,Moulboard,,,,,,,0.42,,,,
9176109,7,Nil,,,,,,,0.56,,,,
9176109,7,Terraland Ripper,,,,,,,0.7,,,,
9176109,7,Dpeth Charger,,,,,,,0.63,,,,
9176109,7,Moulboard,,,,,,,0.57,,,,
9176109,7,Nil,,,,,,,0.27,,,,
9176109,7,Terraland Ripper,,,,,,,0.67,,,,
9176109,7,Dpeth Charger,,,,,,,0.17,,,,
9176109,7,Moulboard,,,,,,,0.38,,,,
9176109,7,Nil,,,,,,,0.42,,,,
9176109,7,Terraland Ripper,,,,,,,0.42,,,,
9176109,8,Control,,,,,,,0.45,,,,
9176109,8,Horsch Tiger Ripper,,,,,,,0.47,,,,
9176109,8,Plozza Plough,,,,,,,0.69,,,,
9176109,8,Shallow Disc,,,,,,,0.45,,,,
9176109,9,Control,,,,,,,,,9.68,,
9176109,9,Horsch Tiger,,,,,,,,,34.6,,
9176109,9,Plozza Plough,,,,,,,,,20.25,,
9176109,9,Shallow Disc Harrow,,,,,,,,,12.43,,
9176109,9,Tramline Control,,,,,,,,,8.7,,
9176109,10,Control,58.44,,11.275,19.2,,10.1,,,,57.0,
9176109,10,Plozza Plough,61.13,,12.05,13.91,,10.15,,,,58.0,
9176109,10,Horsch Tiger Ripper,60.42,,12.5,16.42,,10.15,,,,58.0,
9176109,10,Shallow Disc,59.72,,11.3,16.44,,10.05,,,,57.0,
9176109,11,Deep-duplex Ripped,,,,,4.5,,,,,,
9176109,11,Deep-duplex Unripped,,,,,3.4,,,,,,
9176109,11,Medium-duplex Ripped,,,,,4.5,,,,,,
9176109,11,Medium-duplex Unripped,,,,,2.9,,,,,,
9176109,11,Shallow-duplex Ripped,,,,,4.8,,,,,,
9176109,11,Shallow-duplex Unripped,,,,,3.5,,,,,,
9176109,12,"Mouldboard
  and Deep Ripper",,,,,,,,22.0,,,
9176109,12,Control,,,,,,,,12.0,,,
9176109,12,Deep Ripper,,,,,,,,19.0,,,
9176109,12,"Plozza and
  Deep Ripper",,,,,,,,20.0,,,
9176109,12,Plozza Plough,,,,,,,,16.0,,,
9176109,13,Scarifier,,,,,,,,25.7333,,,
9176109,13,Tilco 40cm,,,,,,,,38.1667,,,
9176109,13,Depthcharger 40cm,,,,,,,,38.0667,,,
9176109,13,Tilco 65cm,,,,,,,,48.0,,,
9176109,13,Control,,,,,,,,20.8,,,
9176109,13,Depth charger 50cm,,,,,,,,44.7667,,,
9176109,14,Depth Charger,,,,,,,,29.47,,,
9176109,14,Mouldboard,,,,,,,,35.454,,,
9176109,14,Terreland Ripper,,,,,,,,34.886,,,
9176109,14,Control,,,,,,,,14.09,,,
9176109,15,Horsch Tiger Ripper,,,,,,,,,,,0.85
9176109,15,Shallow Ripper,,,,,,,,,,,1.27
9176109,15,Plozza Plough,,,,,,,,,,,0.7
9176109,15,Control,,,,,,,,,,,0.77
