field_trial_id,Table number,Treatment 1,Organic carbon (%),Grain yield (t/ha),NDVI (.).3,Colwell phosphorus (mg/kg),Colwell phosphorus (PBI),Sulphur (mg/kg),pH CaCl2 (pH),Electrical conductivity (dS/m),NH4 (mg/kg),NO3 (mg/kg),Colwell Potassium (mg/kg)
9176156,1,Cowpea Ebony,,8.15,,,,,,,,,
9176156,1,Millett Shirohie,,7.3,,,,,,,,,
9176156,1,Sorghum Sprint,,7.38,,,,,,,,,
9176156,1,Canola Hyola 970,,6.91,,,,,,,,,
9176156,1,Control wheat stubble,,7.38,,,,,,,,,
9176156,2,Cowpea Ebony,,,0.7,,,,,,,,
9176156,2,Millett Shirohie,,,0.7,,,,,,,,
9176156,2,Sorghum Sprint,,,0.62,,,,,,,,
9176156,2,Canola Hyola 970,,,0.57,,,,,,,,
9176156,2,Control wheat stubble,,,0.61,,,,,,,,
9176156,3,Site Avg (30/1/2019),0.201,,,1.0,40.0,36.0,5.3,6.3,42.0,3.8,
9176156,3,Canola (9/5/2019,0.138,,,8.0,35.0,24.0,5.8,6.4,35.0,3.0,32.0
9176156,3,Cowpea (9/5/2019,0.23,,,2.5,45.0,56.0,5.7,6.3,63.0,3.4,52.0
9176156,3,Sorghum (9/5/2019,0.278,,,2.0,56.0,50.0,5.8,6.4,46.0,3.2,68.0
9176156,3,Millet (9/5/2019,0.153,,,2.0,39.0,33.0,5.6,6.2,39.0,3.0,32.0
9176156,3,Average (9/5/2019,0.2,,,4.0,43.0,40.0,5.7,6.3,46.0,3.1,46.0
9176156,4,Cowpea,,,7,,,,,,,,
9176156,4,Millet,,,0.61,,,,,,,,
9176156,4,Sorghum,,,0.62,,,,,,,,
9176156,4,Canola,,,0.62,,,,,,,,
9176156,4,Control (wheat),,,0.69,,,,,,,,
9176156,5,1,,,1,,,,,,,,
9176156,5,2,,,2,,,,,,,,
9176156,5,3,,,3,,,,,,,,
9176156,5,4,,,b,,,,,,,,
