field_trial_id,Table number,Treatment 1,Grain yield (t/ha).2
9178044,1,Undrained,2.21
9178044,1,Drained - GRDC Main Location,3.2
9178044,1,Drained - Second Location,3.29
9178044,1,Non Waterlogging - Medium Performing Soil,3.7
9178044,1,Non Waterlogging - High Performing Soil,5.99
9178044,1,Undrained,1.74
9178044,1,Drained - GRDC Main Location,2.97
9178044,1,Drained - Second Location,3.02
9178044,1,Non Waterlogging - High Performing Soil,4.19
9178044,2,"Control - Undrained, Waterlogging Prone",3.74
9178044,2,Drained -,5.2
9178044,2,"Control - Upslope, non-waterlogging prone",5.42
9178044,4,Undrained,2.21
9178044,4,Drained - GRDC Main Location,3.2
9178044,4,Drained - Second Location,3.29
9178044,4,Non Waterlogging - Medium Performing Soil,3.7
9178044,4,Non Waterlogging - High Performing Soil,5.99
9178044,4,Undrained,1.74
9178044,4,Drained - GRDC Main Location,2.97
9178044,4,Drained - Second Location,3.02
9178044,4,Non Waterlogging - High Performing Soil,4.19
