field_trial_id,Table number,Variety,Treatment 1,Grain yield (t/ha)
SCF_P1 Long Season Wheat,1,Revenue,Sowing Date: 26-May,6.57
SCF_P1 Long Season Wheat,1,Manning,Sowing Date: 26-May,6.77
SCF_P1 Long Season Wheat,1,Naparoo,Sowing Date: 26-May,7.27
SCF_P1 Long Season Wheat,1,Sunlamb,Sowing Date: 26-May,7.08
SCF_P1 Long Season Wheat,1,Trojan,Sowing Date: 26-May,7.52
SCF_P1 Long Season Wheat,1,Sceptre,Sowing Date: 26-May,7.62
SCF_P1 Long Season Wheat,1,EDE06-0186-10,Sowing Date: 26-May,6.7
SCF_P1 Long Season Wheat,1,EDE06-0396-13,Sowing Date: 26-May,7.21
SCF_P1 Long Season Wheat,1,Cobalt,Sowing Date: 26-May,7.98
SCF_P1 Long Season Wheat,1,Tenfour,Sowing Date: 26-May,5.84
SCF_P1 Long Season Wheat,1,Endure,Sowing Date: 26-May,5.88
SCF_P1 Long Season Wheat,1,Harper,Sowing Date: 26-May,6.84
SCF_P1 Long Season Wheat,1,Revenue,Sowing Date: 28-Apr,5.5
SCF_P1 Long Season Wheat,1,Manning,Sowing Date: 28-Apr,5.63
SCF_P1 Long Season Wheat,1,Naparoo,Sowing Date: 28-Apr,6.24
SCF_P1 Long Season Wheat,1,Sunlamb,Sowing Date: 28-Apr,6.16
SCF_P1 Long Season Wheat,1,Trojan,Sowing Date: 28-Apr,6.5
SCF_P1 Long Season Wheat,1,Sceptre,Sowing Date: 28-Apr,6.33
SCF_P1 Long Season Wheat,1,EDE06-0186-10,Sowing Date: 28-Apr,5.82
SCF_P1 Long Season Wheat,1,EDE06-0396-13,Sowing Date: 28-Apr,6.87
SCF_P1 Long Season Wheat,1,Cobalt,Sowing Date: 28-Apr,7.41
SCF_P1 Long Season Wheat,1,Tenfour,Sowing Date: 28-Apr,4.93
SCF_P1 Long Season Wheat,1,Endure,Sowing Date: 28-Apr,5.36
SCF_P1 Long Season Wheat,1,Harper,Sowing Date: 28-Apr,5.43
