field_trial_id,Table number,Treatment 1,Protein (%).1,Grain yield (t/ha).1,NDVI (.).1
SCF_P27 Mid Row Banding,1,Mid-row banded,,3.01,
SCF_P27 Mid Row Banding,1,Top-Dressed,,3.0,
SCF_P27 Mid Row Banding,2,Mid-row banded,11.4,,
SCF_P27 Mid Row Banding,2,Top-Dressed,11.6,,
SCF_P27 Mid Row Banding,3,Nil Urea + Top-dressed Flexi-N,,2.91,
SCF_P27 Mid Row Banding,3,Nil Urea + Banded Flexi-N,,3.25,
SCF_P27 Mid Row Banding,3,Top-dressed Urea + Top-dressed Flexi-N,,3.46,
SCF_P27 Mid Row Banding,3,Top-dressed Urea + Banded Flexi-N,,3.9,
SCF_P27 Mid Row Banding,3,Banded Urea +Top-dressed Flexi-N,,3.79,
SCF_P27 Mid Row Banding,3,Banded Urea + Banded Flexi-N,,3.43,
SCF_P27 Mid Row Banding,4,Nil Urea + Top-dressed Flexi-N,9.73,,
SCF_P27 Mid Row Banding,4,Nil Urea + Banded Flexi-N,9.63,,
SCF_P27 Mid Row Banding,4,Top-dressed Urea + Top-dressed Flexi-N,10.07,,
SCF_P27 Mid Row Banding,4,Top-dressed Urea + Banded Flexi-N,10.17,,
SCF_P27 Mid Row Banding,4,Banded Urea + Top-dressed Flexi-N,10.07,,
SCF_P27 Mid Row Banding,4,Banded Urea+ Banded Flexi-N,10.23,,
SCF_P27 Mid Row Banding,5,Nil Urea + Top-dressed Flexi-N,,,0.39
SCF_P27 Mid Row Banding,5,Nil Urea + MRB Flexi-N,,,0.39
SCF_P27 Mid Row Banding,5,Top-dressed Urea + Top-dressed Flexi-N,,,0.42
SCF_P27 Mid Row Banding,5,Top-dressed Urea + MRB Flexi-N,,,0.44
SCF_P27 Mid Row Banding,5,MRB Urea + Top-dressed Flexi-N,,,0.45
SCF_P27 Mid Row Banding,5,MRB Urea + MRB Flexi-N,,,0.41
SCF_P27 Mid Row Banding,6,Mid-row banded,,,0.436
SCF_P27 Mid Row Banding,6,Topdressed,,,0.444
